KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTNAMEBYZ;The Greek Question;La question grecque;Die griechische Frage;Pytanie greckie;La pregunta griega;La domanda greca;A görög kérdés;Øecká otázka;A görög kérdés;De Griekse vraag;A questão grega;Ãğå÷åñêèé âîïğîñ;Kreikan kysymys;x
EVTDESCBYZ;The Byzantine Empire is still strong and living and no Greek would secede from it, would they?;L'Empire Byzantin est encore fort et vivant et aucun Grec ne s'en séparerait, n'est-ce pas?;Das Byzantinische Reich ist immer noch stark und lebt und kein Grieche würde sich davon trennen, oder?;Cesarstwo Bizancjum nadal jest silne i ¿ywe, a ¿aden Grek nie oddzieli³by siê od niego, prawda?;El Imperio bizantino sigue siendo fuerte y vivo y ningún griego se separaría de él, ¿verdad?;L'impero bizantino è ancora forte e vivo e nessun greco lo separerebbe, vero?;A bizánci birodalom még mindig eros és élo, és egyetlen görög sem szakadna el tõle?;Byzantská øíše je stále silná a ijící a ádnı Øeckı by se z ní neztratil, e?;A bizánci birodalom még mindig eros és élo, és egyetlen görög sem szakadna el tõle?;Het Byzantijnse rijk is nog steeds sterk en leeft en geen Grieks zou zich ervan afscheiden, toch?;O Império Bizantino ainda é forte e vivo e nenhum grego se separaria dele, não é?;Âèçàíòèéñêàÿ èìïåğèÿ ïî-ïğåæíåìó ñèëüíà è æèâåò, è íèêàêîé ãğåê íå áóäåò îò íåå îòäåëåí, íå òàê ëè?;Bysantin valtakunta on edelleen vahva ja elävä, eikä kreikkalainen erota siitä, olisivatko he?;x
EVTOPTABYZ;I guess so.;Je suppose.;Ich denke schon.;Tak myœlê.;Supongo que sí.;Credo di sì.;Azt hiszem.;Myslím e ano.;Azt hiszem.;Ik denk het wel.;Eu acho.;Ïîëàãàş, ÷òî òàê.;Minä luulen niin.;x
EVTNAMEGRE;The end of the Byzantine dream;La fin du rêve byzantin;Das Ende des byzantinischen Traums;Koniec bizantyjskiego snu;El final del sueño bizantino;La fine del sogno bizantino;A bizánci álom vége;Konec byzantského snu;A bizánci álom vége;Het einde van de Byzantijnse droom;O fim do sonho bizantino;Êîíåö âèçàíòèéñêîãî ñíà;Bysantin unelman loppu;x
EVTDESCGRE;The last remnants of the Byzantine Empire have been crushed forever. The people of Greece, already sick of the foreign yoke, want a country of their own, a nation state.;Les derniers vestiges de l’Empire byzantin ont été écrasés pour toujours. Le peuple grec, déjà malade du joug étranger, veut un pays pour eux, un État-nation.;Die letzten Überreste des Byzantinischen Reiches sind für immer zerstört worden. Die Leute von Griechenland, die schon das fremde Joch satt haben, wollen ein eigenes Land, einen Nationalstaat.;Ostatnie resztki Cesarstwa Bizantyjskiego zosta³y zmia¿d¿one na zawsze. Ludzie Grecji, ju¿ chorzy na obce jarzmo, chc¹ w³asnego kraju, pañstwa narodowego.;Los últimos remanentes del Imperio bizantino han sido aplastados para siempre. La gente de Grecia, ya harta del yugo extranjero, quiere un país propio, un estado nación.;Gli ultimi resti dell'impero bizantino sono stati schiacciati per sempre. Il popolo greco, già stufo del giogo straniero, vuole un paese tutto suo, uno stato nazione.;A bizánci birodalom utolsó maradványait örökre összetörték. Görögország lakói, akik már ideges igát jelentenek, egy országot akarnak, nemzetállamot.;Poslední zbytky byzantské øíše byly navdy rozdrceny. Lidé Øecka, ji nemocní z cizího jara, chtìjí vlastní zemi, národní stát.;A bizánci birodalom utolsó maradványait örökre összetörték. Görögország lakói, akik már ideges igát jelentenek, egy országot akarnak, nemzetállamot.;De laatste overblijfselen van het Byzantijnse Rijk zijn voor altijd verpletterd. De mensen van Griekenland, die al ziek zijn van het buitenlandse juk, willen een eigen land, een natiestaat.;Os últimos remanescentes do Império Bizantino foram esmagados para sempre. O povo da Grécia, já doente do jugo estrangeiro, quer um país próprio, um Estado-nação.;Ïîñëåäíèå îñòàòêè Âèçàíòèéñêîé èìïåğèè áûëè ğàçãğîìëåíû íàâñåãäà. Íàğîä Ãğåöèè, óæå áîëüíîé èíîñòğàííûì èãîì, õî÷åò ñòğàíó ñâîåãî, íàöèîíàëüíîãî ãîñóäàğñòâà.;Bysantin valtakunnan viimeiset jäänteet on murskattu ikuisesti. Kreikan kansalaiset, jotka jo ovat ulkomaisen ikeen sairastuneet, haluavat oman maan, kansakunnan.;x
EVTOPTAGRE;It's all Greek to me.;C'est du grec pour moi.;Das ist mir griechisch.;Nic z tego nie rozumiem.;No entiendo nada.;Per me è greco.;Ez nekem kínai.;To je pro mì všechno øecké.;Ez nekem kínai.;Het is allemaal Grieks voor mij.;É tudo grego para mim.;İòî äëÿ ìåíÿ êèòàéñêàÿ ãğàìîòà.;Se on hepreaa minulle.;x
EVTNAMEITP;The Theocracy of $COUNTRY$;La théocratie de $COUNTRY$;Die Theokratie von $COUNTRY$;Theokracja $COUNTRY$;La teocracia de $COUNTRY$;La teocrazia di $COUNTRY$;A $COUNTRY$ teokráciája;Theocracy z $COUNTRY$;A $COUNTRY$ teokráciája;The Theocracy van $COUNTRY$;A teocracia de $COUNTRY$;Òåîêğàòèÿ $COUNTRY$;Theocracy of $COUNTRY$;x
EVTDESCITP;$COUNTRY$ is ruled by a Pope but, let's be honest, something has changed.;$COUNTRY$ est gouverné par un pape mais, soyons honnêtes, quelque chose a changé.;$COUNTRY$ wird von einem Papst regiert, aber, ehrlich gesagt, hat sich etwas geändert.;$COUNTRY$ jest rz¹dzony przez papie¿a, ale, b¹dŸmy szczerzy, coœ siê zmieni³o.;$COUNTRY$ es gobernado por un Papa pero, seamos honestos, algo ha cambiado.;$COUNTRY$ è governato da un Papa ma, siamo onesti, qualcosa è cambiato.;A $COUNTRY$ pápa uralkodik, de õszinte legyek, valami megváltozott.;$COUNTRY$ je ovládán papeem, ale buïme upøímní, nìco se zmìnilo.;A $COUNTRY$ pápa uralkodik, de õszinte legyek, valami megváltozott.;$COUNTRY$ wordt geregeerd door een paus maar, laten we eerlijk zijn, er is iets veranderd.;$COUNTRY$ é governado por um papa, mas, sejamos honestos, algo mudou.;$COUNTRY$ óïğàâëÿåòñÿ ïàïîé, íî, áóäåì ÷åñòíûì, ÷òî-òî èçìåíèëîñü.;Paavi on hallitseva $COUNTRY$, mutta rehellinen, jotain on muuttunut.;x
EVTOPTAITP;Ave Maria?;Ave Maria?;Ave Maria?;Ave Maria?;¿Ave Maria?;Ave Maria?;Ave Maria?;Ave Maria?;Ave Maria?;Ave Maria?;Ave Maria?;Àâå Ìàğèÿ?;Ave Maria?;x
EVTNAMEITA;$COUNTRY$ and the dethronation of the Pope;$COUNTRY$ et la destruction du pape;$COUNTRY$ und die Entthronung des Papstes;$COUNTRY$ i detronizacja papie¿a;$COUNTRY$ y la destronación del Papa;$COUNTRY$ e la detronizzazione del Papa;$COUNTRY$ és a pápa megfenyítése;$COUNTRY$ a dethronace papee;$COUNTRY$ és a pápa megfenyítése;$COUNTRY$ en de onttroning van de paus;$COUNTRY$ e o destronamento do Papa;$COUNTRY$ è äåòîíàöèÿ Ïàïû Ğèìñêîãî;$COUNTRY$ ja paavin detronisointi;x
EVTDESCITA;Enough with a despot chosen by few elders and having him called God-chosen! The Italians are sick and tired, and they broke the chains of this religious slavery.;Assez avec un despote choisi par quelques anciens et les appeler Dieu! Les Italiens sont fatigués et ils ont brisé les chaînes de cet esclavage religieux.;Genug mit einem Despoten, der von einigen Ältesten ausgesucht wurde und als von Gott erwählt genannt! Die Italiener sind krank und müde, und sie haben die Ketten dieser religiösen Sklaverei gebrochen.;Doœæ z despotem wybranym przez kilka starszych i nazwaniem go wybranym przez Boga! W³osi s¹ chorzy i zmêczeni, a oni z³amali ³añcuchy religijnej niewoli.;¡Basta de un déspota elegido por unos pocos ancianos y de llamarlo elegido por Dios! Los italianos están enfermos y cansados, y rompieron las cadenas de esta esclavitud religiosa.;Basta con un despota scelto da pochi anziani e dire che l'abbia scelto Dio! Gli italiani sono malati e stanchi e hanno spezzato le catene di questa schiavitù religiosa.;Elég a néhány vének által választott despotot, és õt hívják Isten-választottnak! Az olaszok betegek és fáradtak, és megtörték a vallási rabszolgaság láncát.;Dosti s despotou, které si vybrali jen nìkolik starších a kteøí ho nazvali Boími! Italové jsou nemocní a unaveni a zlomili øetìzce tohoto náboenského otroctví.;Elég a néhány vének által választott despotot, és õt hívják Isten-választottnak! Az olaszok betegek és fáradtak, és megtörték a vallási rabszolgaság láncát.;Genoeg met een despoot gekozen door enkele ouderlingen en hem door God gekozen laten heten! De Italianen zijn doodmoe en ze hebben de ketenen van deze religieuze slavernij verbroken.;Chega com um déspota escolhido por alguns anciões e tendo ele chamado Deus escolhido! Os italianos estão doentes e cansados, e eles quebraram as correntes dessa escravidão religiosa.;Äîñòàòî÷íî ñ äåñïîòîì, èçáğàííûì íåñêîëüêèìè ñòàğåéøèíàìè, è ñ åãî èìåíåì èçáğàííûì Áîãîì! Èòàëüÿíöû áîëåşò è óñòàëè, è îíè ñëîìàëè öåïè ıòîãî ğåëèãèîçíîãî ğàáñòâà.;Riittää muutamien vanhimpien valitseman hylkäyspalkin kanssa ja hänellä on nimeltään Jumala valittu! Italialaiset ovat sairaita ja väsyneitä, ja he rikkoivat tämän uskonnollisen orjuuden ketjut.;x
EVTOPTAITA;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;O Roma, o morte!;Î Ğîìà, î ìîğòå!;O roma, o morte!;x
EVTNAME601xxx;$YEAR$: The Ethnic Union of $CAPITAL$;$YEAR$: L'Union Ethnique de $CAPITAL$;$YEAR$: die ethnische Union von $CAPITAL$;$YEAR$: Unia etniczna $CAPITAL$;$YEAR$: L'Unione Etnica di $CAPITAL$;$YEAR$: La Unión Étnica de $CAPITAL$;$YEAR$: A $CAPITAL$ etnikai szövetsége;$YEAR$: Etnická unie $CAPITAL$;$YEAR$: A $CAPITAL$ etnikai szövetsége;$YEAR$: De etnische unie van $COUNTRY$;$YEAR$: A União Étnica de $CAPITAL$;$YEAR$: ıòíè÷åñêèé ñîşç â $CAPITAL$;$YEAR$: $CAPITAL$n etninen liitto;x
EVTDESC601xxx;$MONARCHTITLE$ of $COUNTRY$ rules over all the lands in the world with their same ethnicity, or so it seems. Perhaps in ten years, $CAPITAL$ will be the capital of $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ de $COUNTRY$ règne sur toutes les terres du monde avec son même origine ethnique, du moins semble-t-il. Peut-être que dans dix ans, $CAPITAL$ sera la capital de $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ von $COUNTRY$ regiert über alle Länder der Welt mit derselben ethnischen Zugehörigkeit, oder so scheint es. Vielleicht wird $CAPITAL$ in zehn Jahren die Hauptstadt von $CULTURE_GROUP_UNION$ sein?;$MONARCHTITLE$ iz $COUNTRY$ rz¹dzi wszystkimi ziemiami na œwiecie o tej samej etnicznoœci, a przynajmniej tak siê wydaje. Mo¿e za dziesiêæ lat $CAPITAL$ bêdzie stolic¹ $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ di $COUNTRY$ governa tutte le terre del mondo della sua stessa cultura, o almeno così pare. Forse che fra dieci anni $CAPITAL$ sarà la capitale di $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ de $COUNTRY$ gobierna todas las tierras del mundo con su mismo origen étnico, o eso parece. ¿Quizás en diez años, $CAPITAL$ será capital de $CULTURE_GROUP_UNION$?;A $MONARCHTITLE$ $COUNTRY$ a világ minden olyan földterületére vonatkozik, amelyek azonos etnikumúak, vagy úgy tunik. Tíz év múlva a $CAPITAL$ lesz a $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ zu $COUNTRY$ vládne ve všech zemích svìta se stejnou etnickou pøíslušností, nebo se to zdá. Asi za deset let bude $CAPITAL$ hlavním mìstem $CULTURE_GROUP_UNION$?;A $MONARCHTITLE$ $COUNTRY$ a világ minden olyan földterületére vonatkozik, amelyek azonos etnikumúak, vagy úgy tunik. Tíz év múlva a $CAPITAL$ lesz a $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ van $COUNTRY$ regeert over alle landen ter wereld met dezelfde etniciteit, zo lijkt het. Misschien is $CAPITAL$ over tien jaar de hoofdstad van $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ de $COUNTRY$ governam todas as terras do mundo com a mesma etnia, ou assim parece. Talvez daqui a dez anos, $CAPITAL$ seja a capital de $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ èç $COUNTRY$ óïğàâëÿåò âñåìè çåìëÿìè â ìèğå ñ èõ îäèíàêîâîé ıòíè÷åñêîé ïğèíàäëåæíîñòüş, èëè òàê êàæåòñÿ. Âîçìîæíî, ÷åğåç äåñÿòü ëåò $CAPITAL$ ñòàíåò ñòîëèöåé $CULTURE_GROUP_UNION$?;$MONARCHTITLE$ zu $COUNTRY$ hallitsee kaikkia maailman maita, joilla on sama etnisyys, tai niin näyttää. Ehkä kymmenessä vuodessa $CAPITAL$ on $CULTURE_GROUP_UNION$n pääkaupunki?;x
STRING_OK;Ok.;D'accord.;Ok.;Dobra.;Okey.;Va bene.;Oké.;Dobøe.;Oké.;Oké.;Tá bem.;Äîáğî.;Kuittaus.;x
EVTNAME550004;The Tannu Tuva State of $CAPITAL$;L'État Tannu Tuva de $CAPITAL$;Der Tannu Tuva-Staat von $CAPITAL$;Stan Tannu Tuva w $CAPITAL$;El estado de Tannu Tuva de $CAPITAL$;Lo stato Tannu Tuva di $CAPITAL$;A Tannu Tuva Állam $CAPITAL$;Stát Tannu Tuva $CAPITAL$;A Tannu Tuva Állam $CAPITAL$;De staat Tannu Tuva van $CAPITAL$;O estado de Tannu Tuva de $CAPITAL$;Òàííó Òóâèíñêîå Ãîñóäàğñòâî $CAPITAL$;Tannu Tuvan osavaltio $CAPITAL$;x
EVTDESC550xxx;For centuries, we have been ruled by the $COUNTRY$ dynasty, yet their prestige is too low to echo throughout the Middle Kingdom. Hence, we should now style ourselves according to the region of our beloved capital city, $CAPITAL$;Pendant des siècles, nous avons été gouvernés par la dynastie $COUNTRY$, mais leur prestige est trop faible pour faire écho dans tout l'Empire du Milieu. Par conséquent, nous devons maintenant nous coiffer en fonction de la région de notre capitale bien-aimée, $CAPITAL$;Seit Jahrhunderten werden wir von der $COUNTRY$-Dynastie regiert, aber ihr Ansehen ist zu gering, um im gesamten Mittleren Reich widerzuspiegeln. Daher müssen wir unsere Haare jetzt entsprechend der Region unserer geliebten Hauptstadt $CAPITAL$ stylen;Przez stulecia rz¹dzi³a nas dynastia $COUNTRY$, ale ich presti¿ jest zbyt niski, aby odbijaæ siê echem w ca³ym Królestwie Œrodkowym. Dlatego powinniœmy teraz stylizowaæ siê zgodnie z regionem naszej ukochanej stolicy, $CAPITAL$;Durante siglos, hemos sido gobernados por la dinastía $COUNTRY$, pero su prestigio es demasiado bajo para hacer eco en todo el Reino Medio. Por lo tanto, ahora deberíamos diseñarnos de acuerdo con la región de nuestra querida capital, $CAPITAL$;Per secoli, siamo stati governati dalla dinastia $COUNTRY$, ma il loro prestigio è troppo basso per riecheggiare in tutto il Regno di Mezzo. Quindi, dovremmo ora rinominarci secondo la regione della nostra amata capitale, $CAPITAL$;Az évszázadok óta a $COUNTRY$ dinasztia uralkodott bennünk, ám presztízsük túl alacsony ahhoz, hogy visszatükrözõdjön az egész Közép-Királyságban. Ezért meg kell stílusoznunk magunkat a szeretett fõvárosunk, a $CAPITAL$ régiója szerint;Po celá staletí nás vládla dynastie $COUNTRY$, ale jejich presti je pøíliš nízká na to, aby se odráela po celém Støedním království. Proto bychom se nyní mìli stylizovat podle regionu našeho milovaného hlavního mìsta, $CAPITAL$;Az évszázadok óta a $COUNTRY$ dinasztia uralkodott bennünk, ám presztízsük túl alacsony ahhoz, hogy visszatükrözõdjön az egész Közép-Királyságban. Ezért meg kell stílusoznunk magunkat a szeretett fõvárosunk, a $CAPITAL$ régiója szerint;Eeuwenlang werden we geregeerd door de $COUNTRY$-dynastie, maar hun prestige is te laag om door het hele Midden-Koninkrijk te galmen. Daarom moeten we ons nu stylen volgens de regio van onze geliefde hoofdstad, $CAPITAL$;Durante séculos, fomos governados pela dinastia $COUNTRY$, mas seu prestígio é baixo demais para ecoar por todo o Reino do Meio. Portanto, agora devemos nos estilizar de acordo com a região de nossa amada capital, $CAPITAL$;Íà ïğîòÿæåíèè âåêîâ íàìè óïğàâëÿëà äèíàñòèÿ $COUNTRY$, íî èõ àâòîğèòåò ñëèøêîì íèçîê, ÷òîáû îòğàæàòüñÿ âî âñåì Ñğåäíåì Êîğîëåâñòâå. Ñëåäîâàòåëüíî, òåïåğü ìû äîëæíû ñòèëèçîâàòü ñåáÿ â ñîîòâåòñòâèè ñ ğåãèîíîì íàøåé ëşáèìîé ñòîëèöû, $CAPITAL$;$COUNTRY$-dynastia on hallinnut meitä vuosisatojen ajan, mutta niiden arvovalta on liian matala kaikuakseen koko Lähi-Britanniassa. Siksi meidän pitäisi nyt muotoilla itseämme rakkaan pääkaupunkimme alueen, $CAPITAL$, alueen mukaan;x
EVTOPTA550xxx;May we become $MONARCHTITLE$s of China in the near future;Que nous deviennions $MONARCHTITLE$s de la Chine dans un avenir proche;Werden wir in naher Zukunft $MONARCHTITLE$ von China;Obyœmy w najbli¿szej przysz³oœci mogli staæ siê $MONARCHTITLE$ Chin;Que podamos convertirnos en $MONARCHTITLE$s de China en el futuro cercano;Possiamo diventare $MONARCHTITLE$ della Cina nel prossimo futuro;A közeljövõben válhatnánk Kínából $MONARCHTITLE$ dollárba;Ké se v blízké budoucnosti staneme $MONARCHTITLE$ Èíny;A közeljövõben válhatnánk Kínából $MONARCHTITLE$ dollárba;Mogen we in de nabije toekomst $MONARCHTITLE$s van China worden;Que possamos nos tornar $MONARCHTITLE$s da China em um futuro próximo;Ìîæåì ëè ìû ñòàòü $MONARCHTITLE$ Êèòàÿ â áëèæàéøåì áóäóùåì;Saisiko meistä tulla $MONARCHTITLE$ Kiinasta lähitulevaisuudessa;x
EVTNAME550005;The Transamur State of $CAPITAL$;L'État Transamour de $CAPITAL$;Der Transamur-Staat von $CAPITAL$;Stan Transamur w $CAPITAL$;El estado de Transamur de $CAPITAL$;Lo stato Transamur di $CAPITAL$;A Transamur Állam $CAPITAL$;Stát Transamurskı $CAPITAL$;A Transamur Állam $CAPITAL$;De staat Transamur van $CAPITAL$;O estado de Transamur de $CAPITAL$;Òğàíñàìóğñêîå Ãîñóäàğñòâî $CAPITAL$;Transamurin osavaltio $CAPITAL$;x
EVTNAME550006;The Manchukuo State of $CAPITAL$;L'État Mandchoukouo de $CAPITAL$;Der Mandschukuo-Staat von $CAPITAL$;Stan Manchukuo w $CAPITAL$;El estado de Manchukuo de $CAPITAL$;Lo stato Manchukuo di $CAPITAL$;A Manchukuo Állam $CAPITAL$;Stát Manchukuo $CAPITAL$;A Manchukuo Állam $CAPITAL$;De staat Manchukuo van $CAPITAL$;O estado de Manchukuo de $CAPITAL$;Ìàíü÷æóğèéñêîå Ãîñóäàğñòâî $CAPITAL$;Manchukuo-osavaltio $CAPITAL$;x
EVTNAME550007;The Mongol State of $CAPITAL$;L'État Mongol de $CAPITAL$;Der Mongolei-Staat $CAPITAL$;Stan Mongolski w $CAPITAL$;El estado de Mongolia de $CAPITAL$;Lo stato Mongolo di $CAPITAL$;A Mongol Állam $CAPITAL$;Stát Mongolskı $CAPITAL$;A Mongol Állam $CAPITAL$;De Mongoolse staat van $CAPITAL$;O estado mongol de $CAPITAL$;Ìîíãîëüñêîå Ãîñóäàğñòâî $CAPITAL$;Mongolin osavaltio $CAPITAL$;x
EVTNAME550008;The Cismongol State of $CAPITAL$;L'état Cismongol de $CAPITAL$;Der Zismongolei-Staat $CAPITAL$;Stan Zismongolski w $CAPITAL$;El estado de Cismongolia de $CAPITAL$;Lo stato Cismongolo di $CAPITAL$;A Cismongol Állam $CAPITAL$;Stát Cismongolskı $CAPITAL$;A Cismongol Állam $CAPITAL$;De Cismongoolse staat van $CAPITAL$;O estado cismongol de $CAPITAL$;Öèñìîíãîëüñêîå Ãîñóäàğñòâî $CAPITAL$;Cismongolin osavaltio $CAPITAL$;x
EVTNAME550009;The Pyongyang State of $CAPITAL$;L'état Pyongyang de $CAPITAL$;Der Pjöngjang-Staat von $CAPITAL$;Stan Phenianu w $CAPITAL$;El estado de Pyongyang de $CAPITAL$;Lo stato Pyongyang di $CAPITAL$;A Phenjani Állam $CAPITAL$;Stát Pchjongjangu $CAPITAL$;A Phenjani Állam $CAPITAL$;De staat Pyongyang van $CAPITAL$;O estado de Pyongyang de $CAPITAL$;Ïõåíüÿíñêîå Ãîñóäàğñòâî $CAPITAL$;Pyongyangin osavaltio $CAPITAL$;x
EVTNAME550010;The Mengjiang State of $CAPITAL$;L'État Mengjiang de $CAPITAL$;Der Mengjiang-Staat von $CAPITAL$;Stan Mengjiang w $CAPITAL$;El estado de Mengjiang de $CAPITAL$;Lo stato Mengjiang di $CAPITAL$;A Mengjiang Állam $CAPITAL$;Stát Mengjiangskı $CAPITAL$;A Mengjiang Állam $CAPITAL$;De staat Mengjiang van $CAPITAL$;O estado de Mengjiang de $CAPITAL$;Ìıíöçÿíñêîå Ãîñóäàğñòâî $CAPITAL$;Mengjiangin osavaltio;x
EVTNAME550011;The Shandong State of $CAPITAL$;L'état Shandong de $CAPITAL$;Der Shandong-Staat von $CAPITAL$;Stan Shandong w $CAPITAL$;El estado de Shandong de $CAPITAL$;Lo stato Shandong di $CAPITAL$;A Shandong Állam $CAPITAL$;Stát Shandongskı $CAPITAL$;A Shandong Állam $CAPITAL$;De staat Shandong van $CAPITAL$;O estado de Shandong de $CAPITAL$;Øàíüäóíà Ãîñóäàğñòâî $CAPITAL$;Shandongin osavaltio $CAPITAL$;x
EVTNAME550012;The Taiping State of $CAPITAL$;L'état Taiping de $CAPITAL$;Der Taiping-Staat von $CAPITAL$;Stan Taiping w $CAPITAL$;El estado de Taiping de $CAPITAL$;Lo stato Taiping di $CAPITAL$;A Taiping Állam $CAPITAL$;Stát Taipingskı $CAPITAL$;A Taiping Állam $CAPITAL$;De staat Taiping van $CAPITAL$;O estado de Taiping de $CAPITAL$;Òàéïèíãñêîå Ãîñóäàğñòâî $CAPITAL$;Taiping-valtio pääoma $;x
EVTNAME550013;The Shanghai State of $CAPITAL$;L'État Chang-Haï de $CAPITAL$;Der Schanghai-Staat von $CAPITAL$;Stan Shanghai w $CAPITAL$;El estado de Shanghai de $CAPITAL$;Lo stato Shanghai di $CAPITAL$;A Sanghaji Állam $CAPITAL$;Stát Šanghajskı $CAPITAL$;A Sanghaji Állam $CAPITAL$;De staat Shanghai van $CAPITAL$;O estado de Xangai de $CAPITAL$;Øàíõàéñêîå Ãîñóäàğñòâî $CAPITAL$;Shanghain osavaltio $CAPITAL$;x
EVTNAME550014;The Anhui State of $CAPITAL$;L'État Anhui de $CAPITAL$;Der Anhui-Staat von $CAPITAL$;Stan Anhui w $CAPITAL$;El estado de Anhui de $CAPITAL$;Lo stato Anhui di $CAPITAL$;Az Anhui Állam $CAPITAL$;Stát Anhuiskı $CAPITAL$;Az Anhui Állam $CAPITAL$;De staat Anhui van $CAPITAL$;O estado de Anhui de $CAPITAL$;Àíüõîÿ Ãîñóäàğñòâî $CAPITAL$;Anhuin osavaltio $CAPITAL$;x
EVTNAME550015;The Shanxi State of $CAPITAL$;L'État Shanxi de $CAPITAL$;Der Shanxi-Staat von $CAPITAL$;Stan Shanxi w $CAPITAL$;El estado de Shanxi de $CAPITAL$;Lo stato Shanxi di $CAPITAL$;A Shanxi Állam $CAPITAL$;Stát Shanxi $CAPITAL$;A Shanxi Állam $CAPITAL$;De staat Shanxi van $CAPITAL$;O estado de Shanxi de $CAPITAL$;Øàíüñÿ Ãîñóäàğñòâî $CAPITAL$;Shanxin osavaltio $CAPITAL$;x
EVTNAME550016;The Hunan State of $CAPITAL$;L'État Hunan de $CAPITAL$;Der Hunan-Staat von $CAPITAL$;Stan Hunan w $CAPITAL$;El estado de Hunan de $CAPITAL$;Lo stato Hunan di $CAPITAL$;A Hunan Állam $CAPITAL$;Stát Hunanskı $CAPITAL$;A Hunan Állam $CAPITAL$;De staat Hunan van $CAPITAL$;O estado de Hunan de $CAPITAL$;Õóíàíüÿ Ãîñóäàğñòâî $CAPITAL$;Hunanin osavaltio $CAPITAL$;x
EVTNAME550017;The Fujian State of $CAPITAL$;L'État Fujian de $CAPITAL$;Der Fujian-Staat $CAPITAL$;Stan Fujian w $CAPITAL$;El estado de Fujian de $CAPITAL$;Lo stato Fujian di $CAPITAL$;A Fuzián Állam $CAPITAL$;Stát Fujianskı $CAPITAL$;A Fuzián Állam $CAPITAL$;De staat Fujian van $CAPITAL$;O estado de Fujian de $CAPITAL$;Ôóöçÿíñêîå Ãîñóäàğñòâî $CAPITAL$;Fujianin osavaltio $CAPITAL$;x
EVTNAME550018;The Taiwan State of $CAPITAL$;L'État Taiwan de $CAPITAL$;Der Taiwan-Staat $CAPITAL$;Stan Tajwañski w $CAPITAL$;El estado de Taiwán de $CAPITAL$;Lo stato Taiwan di $CAPITAL$;A Tajvani Állam $CAPITAL$;Stát Tchajwanskı $CAPITAL$;A Tajvani Állam $CAPITAL$;De staat Taiwan van $CAPITAL$;O estado de Taiwan de $CAPITAL$;Òàéâàíüñêîå Ãîñóäàğñòâî $CAPITAL$;Taiwanin osavaltio $CAPITAL$;x
EVTNAME550019;The Guangxi State of $CAPITAL$;L'État Guangxi de $CAPITAL$;Der Guangxi-Staat $CAPITAL$;Stan Guangxi w $CAPITAL$;El estado de Guangxi de $CAPITAL$;Lo stato Guangxi di $CAPITAL$;A Guangxi Állam $CAPITAL$;Stát Kantonskı $CAPITAL$;A Guangxi Állam $CAPITAL$;De staat Guangxi van $CAPITAL$;O estado de Guangxi de $CAPITAL$;Ãóàíñÿ Ãîñóäàğñòâî $CAPITAL$;Guangxin osavaltio $CAPITAL$;x
EVTNAME550020;The Guangdong State of $CAPITAL$;L'État Guangdong de $CAPITAL$;Der Guangdong-Staat $CAPITAL$;Stan Guangdong w $CAPITAL$;El estado de Guangdong de $CAPITAL$;Lo stato Guangdong di $CAPITAL$;A Guangdong Állam $CAPITAL$;Stát Guangdongskı $CAPITAL$;A Guangdong Állam $CAPITAL$;De staat Guangdong van $CAPITAL$;O estado de Guangdong de $CAPITAL$;Ãóàíäóíà Ãîñóäàğñòâî $CAPITAL$;Guangdongin osavaltio $CAPITAL$;x
EVTNAME550021;The Yunnan State of $CAPITAL$;L'État Yunnan de $CAPITAL$;Der Yunnan-Staat $CAPITAL$;Stan Yunnan w $CAPITAL$;El estado de Yunnan de $CAPITAL$;Lo stato Yunnan di $CAPITAL$;A Yunnan Állam $CAPITAL$;Stát Yunnanskı $CAPITAL$;A Yunnan Állam $CAPITAL$;De staat Yunnan van $CAPITAL$;O estado de Yunnan de $CAPITAL$;Şíüíàíÿ Ãîñóäàğñòâî $CAPITAL$;Yunnanin osavaltio $CAPITAL$;x
EVTNAME550022;The Szechuan State of $CAPITAL$;L'État Sichuan de $CAPITAL$;Der Sichuan-Staat of $CAPITAL$;Stan Syczuañski w $CAPITAL$;El estado de Szechuan de $CAPITAL$;Lo stato Szechuan di $CAPITAL$;A Szechuan Állam $CAPITAL$;Stát Szechuanskı $CAPITAL$;A Szechuan Állam $CAPITAL$;De staat Szechuan van $CAPITAL$;O estado de Szechuan de $CAPITAL$;Ñû÷óàíüñêîå Ãîñóäàğñòâî $CAPITAL$;Szechuanin osavaltio $CAPITAL$;x
